Observation,TextUrn,Image,Comments
urn:cite:op:hmt12B.1,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@σ","urn:cite:hmt:vaimg.VA155RN-0327@0.1802,0.2164,0.014,0.0135",
urn:cite:op:hmt12B.2,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@υν","urn:cite:hmt:vaimg.VA155RN-0327@0.1899,0.2151,0.0183,0.0146",υν ligature
urn:cite:op:hmt12B.3,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ν","urn:cite:hmt:vaimg.VA155RN-0327@0.2065,0.2155,0.0114,0.0129",
urn:cite:op:hmt12B.4,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ε","urn:cite:hmt:vaimg.VA155RN-0327@0.2168,0.2121,0.0149,0.0142",
urn:cite:op:hmt12B.5,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@χ","urn:cite:hmt:vaimg.VA155RN-0327@0.2248,0.2181,0.0189,0.0134",
urn:cite:op:hmt12B.6,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ὲσ","urn:cite:hmt:vaimg.VA155RN-0327@0.2425,0.2043,0.0212,0.0237",ὲσ ligature
urn:cite:op:hmt12B.7,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ὄ","urn:cite:hmt:vaimg.VA155RN-0327@0.2677,0.2052,0.0149,0.0211",
urn:cite:op:hmt12B.8,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@φ","urn:cite:hmt:vaimg.VA155RN-0327@0.2807,0.2113,0.0151,0.0184",
urn:cite:op:hmt12B.9,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ρ","urn:cite:hmt:vaimg.VA155RN-0327@0.2933,0.218,0.0122,0.0118",
urn:cite:op:hmt12B.10,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ά","urn:cite:hmt:vaimg.VA155RN-0327@0.3074,0.2102,0.0146,0.0147",
urn:cite:op:hmt12B.11,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@κ","urn:cite:hmt:vaimg.VA155RN-0327@0.3201,0.2139,0.0146,0.0147",
urn:cite:op:hmt12B.12,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ε[2]","urn:cite:hmt:vaimg.VA155RN-0327@0.3332,0.2168,0.0146,0.0099",
urn:cite:op:hmt12B.13,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@θ","urn:cite:hmt:vaimg.VA155RN-0327@0.3473,0.2132,0.0195,0.0169",
urn:cite:op:hmt12B.14,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ᾶ","urn:cite:hmt:vaimg.VA155RN-0327@0.3654,0.2121,0.0151,0.0151",
urn:cite:op:hmt12B.15,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@σσ","urn:cite:hmt:vaimg.VA155RN-0327@0.379,0.2143,0.0151,0.0151",σς ligature
urn:cite:op:hmt12B.16,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ο","urn:cite:hmt:vaimg.VA155RN-0327@0.3936,0.2187,0.0073,0.0096",
urn:cite:op:hmt12B.17,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ν[2]","urn:cite:hmt:vaimg.VA155RN-0327@0.4004,0.2194,0.0127,0.011",
urn:cite:op:hmt12B.18,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ἁ","urn:cite:hmt:vaimg.VA155RN-0327@0.4164,0.2132,0.0136,0.0136",
urn:cite:op:hmt12B.19,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@λ","urn:cite:hmt:vaimg.VA155RN-0327@0.4237,0.2176,0.0175,0.0154",
urn:cite:op:hmt12B.20,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@ί","urn:cite:hmt:vaimg.VA155RN-0327@0.4403,0.2139,0.0136,0.0154",
urn:cite:op:hmt12B.21,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@π","urn:cite:hmt:vaimg.VA155RN-0327@0.4476,0.2209,0.0151,0.0063",
urn:cite:op:hmt12B.22,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@λ","urn:cite:hmt:vaimg.VA155RN-0327@0.4612,0.2154,0.0141,0.0129",
urn:cite:op:hmt12B.23,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@",,
urn:cite:op:hmt12B.2,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@",,
urn:cite:op:hmt12B.23,"urn:cts:greekLit:tlg0012.tlg001.msA:12.26@",,
